iter	Passed	Remaining
0	2	414
1	3	383
2	5	365
3	7	352
4	8	347
5	10	340
6	12	340
7	14	338
8	15	336
9	17	339
10	19	333
11	21	330
12	22	328
13	24	326
14	25	319
15	27	318
16	29	318
17	31	316
18	32	313
19	34	312
20	36	310
21	38	308
22	39	306
23	41	305
24	43	304
25	45	301
26	46	300
27	48	299
28	50	296
29	52	294
30	53	292
31	55	291
32	57	288
33	58	287
34	60	286
35	62	284
36	64	283
37	66	281
38	67	279
39	69	277
40	71	276
41	72	274
42	74	272
43	76	270
44	78	268
45	79	266
46	82	267
47	85	269
48	87	269
49	89	268
50	91	267
51	93	266
52	95	264
53	97	262
54	98	260
55	100	257
56	102	255
57	103	253
58	105	252
59	107	250
60	109	248
61	110	246
62	112	244
63	114	242
64	116	241
65	117	239
66	119	237
67	121	235
68	123	233
69	124	231
70	126	230
71	128	228
72	130	226
73	131	224
74	133	222
75	135	220
76	137	219
77	138	216
78	140	215
79	142	213
80	143	211
81	145	209
82	147	208
83	149	206
84	151	204
85	153	202
86	154	200
87	156	199
88	158	197
89	159	195
90	161	193
91	163	191
92	165	189
93	166	188
94	168	186
95	170	184
96	172	182
97	173	181
98	175	179
99	177	177
100	178	175
101	180	173
102	182	171
103	184	169
104	185	168
105	187	166
106	189	164
107	190	162
108	192	160
109	193	158
110	194	156
111	196	154
112	198	152
113	200	150
114	201	149
115	203	147
116	205	145
117	206	143
118	208	142
119	210	140
120	212	138
121	214	136
122	216	135
123	217	133
124	219	131
125	221	130
126	223	128
127	224	126
128	226	124
129	228	122
130	229	121
131	231	119
132	233	117
133	234	115
134	236	113
135	238	112
136	240	110
137	242	108
138	243	107
139	245	105
140	247	103
141	249	101
142	250	100
143	252	98
144	254	96
145	256	94
146	257	92
147	259	91
148	260	89
149	262	87
150	264	85
151	265	83
152	267	82
153	270	80
154	272	79
155	273	77
156	275	75
157	277	73
158	279	72
159	281	70
160	282	68
161	284	66
162	286	64
163	287	63
164	289	61
165	291	59
166	292	57
167	294	56
168	296	54
169	297	52
170	299	50
171	301	49
172	302	47
173	304	45
174	305	43
175	307	41
176	309	40
177	311	38
178	313	36
179	314	34
180	316	33
181	317	31
182	319	29
183	321	27
184	323	26
185	324	24
186	326	22
187	328	20
188	330	19
189	332	17
190	333	15
191	335	13
192	336	12
193	338	10
194	340	8
195	342	6
196	343	5
197	345	3
198	347	1
199	349	0
